Packet #,Timestamp,Source IP,Destination IP,Protocol,Length (B),Source Port,Destination Port,TCP Flags,DNS Query,DNS Query Type,DNS Response,ICMP Type,ICMP Code,HTTP Host,HTTP Method,HTTP URI,TLS Version,Info
178,12:48:51.387,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
179,12:48:51.387,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
180,12:48:51.387,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
181,12:48:51.387,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
182,12:48:51.387,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
183,12:48:51.387,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
184,12:48:51.387,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
185,12:48:51.387,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
186,12:48:51.390,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
187,12:48:51.390,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
188,12:48:51.395,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
189,12:48:51.395,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
190,12:48:51.399,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
191,12:48:51.399,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
